,dimension,birth,death
0,2,2.28108106647295,2.681237902959955
1,2,2.291803968527338,2.611028691781638
2,2,2.2005130442442886,2.451808685087486
3,2,2.2038956615468734,2.409470878488348
4,2,2.345730319200603,2.5497539723525353
5,2,2.322290540973503,2.521763839033275
6,2,2.3967793932335044,2.591484915473934
7,2,2.032397261411074,2.217634092736786
8,2,2.323587603246081,2.5063786763196174
9,2,2.364975750740983,2.5370558122238513
10,2,1.8692352653425535,2.033554196169848
11,2,2.2133835428144675,2.3611642490306686
12,2,2.1543819040098886,2.288562604701841
13,2,2.120895269050471,2.2535424755669196
14,2,1.9709243056190802,2.092709043813816
15,2,2.217415737299403,2.3378369950784657
16,2,2.1805510210377266,2.29713446397436
17,2,2.1298195676927483,2.242041326723718
18,2,2.320477940848885,2.4302204627220663
19,2,2.5549429317848182,2.648994337053745
20,2,2.1347309539270696,2.217363057063881
21,2,2.1704617951898504,2.241291149216013
22,2,1.9112038785143997,1.9786610999415355
23,2,2.2832980735648127,2.349361412752277
24,2,2.2511669439509965,2.3104296848854293
25,2,2.3485113380695672,2.40464964818839
26,2,2.066869876222296,2.1218236673691466
27,2,2.070059273919549,2.120649418046855
28,2,2.3751378256701488,2.425286519734734
29,2,2.5005756849338567,2.548216761619853
30,2,2.077291092225126,2.124324384159836
31,2,2.273975245914384,2.3142648566408015
32,2,2.048455657739124,2.0873382482890586
33,2,1.9093553152714302,1.9464371817479074
34,2,1.8772932585236741,1.912275654648895
35,2,2.4056441830220043,2.438890565688257
36,2,2.045273702773586,2.0783767008041405
37,2,2.168145632637052,2.1979009441080386
38,2,2.041293463598339,2.0673971792514076
39,2,2.172424210490433,2.1973206640968024
40,2,2.3290928330780623,2.347727515784581
41,2,2.0389894339188097,2.0564401983183624
42,2,2.4947565152624973,2.511553045862681
43,2,2.2964183095501993,2.310587490415174
44,2,1.7635756751347786,1.7764526745671698
45,2,2.3011767852076845,2.310587490415174
46,2,1.9147577591972127,1.9194460548053092
47,2,1.800792520671059,1.8043929001088346
48,1,1.2539880625019584,2.2005005607139427
49,1,1.2447965283555331,2.172660625462973
50,1,1.3486772332248527,2.1678640424850766
51,1,1.3063908781524678,2.0201445904494055
52,1,1.4508430711145408,2.090585956262698
53,1,1.4047130041145357,2.0053866083648897
54,1,1.4111519072907444,2.006163667021704
55,1,1.4947914727229732,2.045961270686695
56,1,1.4715950077779194,2.0160558476548647
57,1,1.2453297244765205,1.7857426058975872
58,1,1.3941901171722706,1.9244698820296504
59,1,1.6431782661834557,2.170117085422207
60,1,1.525494585257179,2.027895496699539
61,1,1.227691538816875,1.7257394836142903
62,1,1.3157443606047645,1.8095498643509078
63,1,1.5061507914535766,1.9873373874446076
64,1,1.2843401255839697,1.7648706456204
65,1,1.529880874553588,2.0052106006044554
66,1,1.73134889958314,2.168839523485647
67,1,1.6918273620192055,2.1190106842895187
68,1,1.552799584650861,1.9794342395611704
69,1,1.5957489884077916,2.0176902543285626
70,1,1.493130768814056,1.9141160601906353
71,1,1.5629228337167345,1.9752143937540583
72,1,1.6210938214828448,2.0264357268424673
73,1,1.4263150169601675,1.8249674955834296
74,1,1.4768864475430423,1.8567326807247575
75,1,1.6234418574321976,1.998748473999816
76,1,1.392450071713267,1.762576482156685
77,1,1.2461009540505703,1.6159264563373459
78,1,1.8191652228281432,2.1888597013104794
79,1,1.8336937239590936,2.179217295561481
80,1,1.6747940596412902,2.0189060296526624
81,1,1.5581961718864656,1.902273421165044
82,1,1.5133214467998977,1.85640416587141
83,1,1.5880112992639024,1.893794078832141
84,1,1.446458157390001,1.7505815807224803
85,1,1.8463500461731168,2.1482015453138814
86,1,1.245262890122881,1.5460410537556024
87,1,1.6741625213109896,1.9742850800630796
88,1,1.6918343134620497,1.9909457406325766
89,1,1.3663368148139876,1.6484788256182636
90,1,1.4830679758773315,1.7585497423463101
91,1,1.3786612335399695,1.6522134913584712
92,1,1.5625354303120695,1.820884482410847
93,1,1.6150933295444754,1.8668468727405623
94,1,1.3751111309541215,1.6256835796109101
95,1,1.4638189465204476,1.7086378867984968
96,1,1.534192806031652,1.7745224175911811
97,1,1.3686267851586116,1.607467448479598
98,1,1.9356513772400443,2.172660625462973
99,1,1.5512639691238885,1.7811220693959406
100,1,1.6449507520162692,1.8715373542272566
101,1,1.6254134594539322,1.8468149039621828
102,1,1.7351099629720308,1.9549391647113985
103,1,1.586348607490005,1.796914928976064
104,1,1.9741608562157307,2.18462499339075
105,1,1.4803329694215972,1.6829548828156433
106,1,1.5454948551139662,1.7331220140584513
107,1,1.5711662352047868,1.7585214924967791
108,1,1.2903387552354308,1.4725620846720302
109,1,1.4749692553502372,1.6510015176309625
110,1,1.8606101296212325,2.032397261411074
111,1,1.6480736659437107,1.817826903905076
112,1,1.5382687398132957,1.7043889829392749
113,1,1.36297511585655,1.517511777439084
114,1,1.4672153091953755,1.6119386178832102
115,1,1.765474355194665,1.9017644225126198
116,1,2.0588816219654524,2.19186283107594
117,1,1.7386732341525575,1.8689751547650906
118,1,1.6099807568432722,1.7393433350964644
119,1,1.3915675631857325,1.5147026342313308
120,1,1.432975526156203,1.5491030404074113
121,1,1.6825746925698493,1.7933044373001639
122,1,1.5735158601153392,1.6810237333830274
123,1,1.6530700620411143,1.7549511189973925
124,1,1.4708396364363714,1.5708251872465684
125,1,1.0922276980880763,1.1921709341727993
126,1,1.9435962170102674,2.0412539323966525
127,1,1.1291302208958265,1.21782080292349
128,1,1.307538483691375,1.3943564117903966
129,1,1.750982845181551,1.826414059695374
130,1,1.9026651165145034,1.9756999496409444
131,1,1.5654741526958351,1.6367695285740838
132,1,1.2819230137063327,1.3530288427297508
133,1,1.5280511880783592,1.5955864775060147
134,1,1.3142035115833854,1.3771237077297762
135,1,1.680492417775166,1.7420805717371586
136,1,1.9173388501157012,1.977432216673947
137,1,1.3763272999132843,1.4249430699706884
138,1,1.319493020604853,1.3652666397364266
139,1,0.9969685525376043,1.0417351210711763
140,1,2.1692330059053226,2.2005130442442886
141,1,1.9817099539818397,2.0129232671496933
142,1,1.288826244183427,1.3144794322867641
143,1,1.9347568108796935,1.958696940264968
144,1,1.6744733062258894,1.6963247453188397
145,1,1.488755261537129,1.506561535128056
146,1,1.626793763488907,1.643086764287536
147,1,1.6871496179271757,1.7018888638066063
148,1,1.6350940710796826,1.6477191233894732
149,1,1.619124213593983,1.6289787625429897
150,1,1.5201245791364173,1.529457826928263
151,1,0.951416971743472,0.9602852024629017
152,1,1.7696829475062064,1.7715081843060265
153,1,1.5716747650933618,1.5731291276645354
154,1,1.6951028814201787,1.6963247453188397
155,1,2.1663303411187593,2.1674335796533786
156,0,0.0,inf
157,0,0.0,1.7596189255926236
158,0,0.0,1.550729910443287
159,0,0.0,1.5004327695889066
160,0,0.0,1.4932942301958685
161,0,0.0,1.4651316819416218
162,0,0.0,1.4595841469271478
163,0,0.0,1.444042052087371
164,0,0.0,1.438304552346633
165,0,0.0,1.4205759456808873
166,0,0.0,1.4156748826961245
167,0,0.0,1.4139156367909305
168,0,0.0,1.398340565249534
169,0,0.0,1.39027723789227
170,0,0.0,1.3901091564019779
171,0,0.0,1.3899745448432383
172,0,0.0,1.3776686572851329
173,0,0.0,1.376201572956542
174,0,0.0,1.369069927351505
175,0,0.0,1.337336436320594
176,0,0.0,1.3310733183404977
177,0,0.0,1.3308641829253736
178,0,0.0,1.3289039032330958
179,0,0.0,1.3269109320544639
180,0,0.0,1.3196729028982574
181,0,0.0,1.316035982144325
182,0,0.0,1.300670755713876
183,0,0.0,1.298895372166202
184,0,0.0,1.294608211885859
185,0,0.0,1.2904903560788712
186,0,0.0,1.2843396091348633
187,0,0.0,1.2806935495554679
188,0,0.0,1.2770739855088913
189,0,0.0,1.2680468273307137
190,0,0.0,1.256662457948506
191,0,0.0,1.2448039618378055
192,0,0.0,1.2439613859825303
193,0,0.0,1.2438972446717536
194,0,0.0,1.2334308763694823
195,0,0.0,1.2309016169968916
196,0,0.0,1.2269963162648574
197,0,0.0,1.2245759407816017
198,0,0.0,1.2147494401771286
199,0,0.0,1.2142624235427004
200,0,0.0,1.2131485987795794
201,0,0.0,1.2129142998769475
202,0,0.0,1.2113485810954523
203,0,0.0,1.2038065329222016
204,0,0.0,1.2020491443511292
205,0,0.0,1.1994684841152006
206,0,0.0,1.1969204911613378
207,0,0.0,1.187902585050466
208,0,0.0,1.1847753734530286
209,0,0.0,1.1780607265100844
210,0,0.0,1.1773837942293819
211,0,0.0,1.171920810189817
212,0,0.0,1.1689598220452169
213,0,0.0,1.1686215739975008
214,0,0.0,1.1668706262588135
215,0,0.0,1.1665628070369067
216,0,0.0,1.1659542957121622
217,0,0.0,1.1652869918382702
218,0,0.0,1.158536956773231
219,0,0.0,1.1557869576050073
220,0,0.0,1.1523743638771446
221,0,0.0,1.1491219573011269
222,0,0.0,1.1411029364845409
